region,group_code,register,list,prevalence
North East,CHD,113718.0442377944,2795089.523120454,0.040684938102032206
North East,CKD,105431.07392961704,2258284.1952115297,0.046686362218348466
North East,COPD,83062.78434552248,2795089.523120454,0.029717396762587663
North East,CVDPP,20398.23593948436,1578170.3105151833,0.012925243748138622
North East,DEM,25645.612276538814,2795098.71170154,0.00917520807733006
North East,DEP,291723.12377161934,2258284.1952115297,0.12917910172253325
North East,DM,174796.7358468022,2286401.010672041,0.07645060294800353
North East,EP,22011.240556398014,2258284.1952115297,0.009746886863518192
North East,HF,34626.83545941177,2795089.523120454,0.012388453097113745
North East,HYP,446642.4522924041,2795089.523120454,0.1597954013987251
North East,LD,19123.442514922976,2795089.523120454,0.006841799647824322
North East,MH,26664.118267079928,2795089.523120454,0.009539629427436712
North East,OB,315541.9803450551,2258284.1952115297,0.1397264263789876
North East,OST,10183.344012204794,1109536.8385890159,0.009178013435907928
North East,PAD,25224.492923191814,2795089.523120454,0.009024574245132243
North East,PC,18727.74234495017,2795089.523120454,0.0067002298817400345
North East,RA,20743.799188168443,2315562.3034015247,0.008958428437747551
North East,STIA,64211.92591812682,2795089.523120454,0.022973119603854498
North West,AF,172784.1950633241,7863735.997563423,0.021972278204260832
North West,AST,560264.5682461266,7863735.997563423,0.07124661463962226
North West,CAN,255969.30000604212,7863735.997563423,0.03255059682641357
North West,CHD,283603.8967817659,7863735.997563423,0.036064778480564524
North West,CKD,281420.12293755205,6246711.973056743,0.045050920252345646
North West,COPD,194232.73810410133,7863735.997563423,0.02469980403262321
North West,CVDPP,55138.180338172664,4394956.101592135,0.01254578636592026
North West,DEM,65414.6428393612,7863717.123757561,0.008318539668947779
North West,DEP,877160.7876089963,6246711.973056743,0.1404195985651904
North West,DM,466013.04434544913,6329636.802739382,0.07362397857389937
North West,EP,58321.11665093309,6246711.973056743,0.009336290340019383
North West,HF,81388.89573710032,7863735.997563423,0.010349901848474905
North West,HYP,1166643.8571753076,7863735.997563423,0.14835745471831607
North West,LD,41169.16409422652,7863735.997563423,0.005235318696734323
North West,MH,82421.1950127931,7863735.997563423,0.010481175237613686
North West,OB,735355.5989085808,6246711.973056743,0.11771882585275413
North West,OST,24435.26537826022,2939627.1799099725,0.008312368842299439
North West,PAD,63494.412754392266,7863735.997563423,0.008074331688406884
North West,PC,44654.57357788614,7863735.997563423,0.005678544344790104
North West,RA,51584.64208456727,6415921.345326243,0.00804009888963878
North West,STIA,156839.97964130054,7863735.997563423,0.01994471580555316
South East,AF,220924.08041774982,9748579.167829707,0.02266218252058709
South East,AST,622024.6992263388,9748579.167829707,0.06380670336852975
South East,CAN,338049.3356676815,9748579.167829707,0.03467678005665109
South East,CHD,278148.10179040546,9748579.167829707,0.028532168329544236
South East,CKD,300751.55651993846,7755220.761048807,0.03878052808380211
South East,COPD,166695.0299268513,9748579.167829707,0.01709941798256556
South East,CVDPP,66742.71748308763,5482107.058211458,0.012174646860118507
South East,DEM,80790.42785821816,9748419.734750558,0.008287540961148964
South East,DEP,930610.2546042594,7755220.761048807,0.11999790634952921
South East,DM,503162.16319729306,7862780.649518368,0.06399290348104955
South East,EP,58901.856443994555,7755220.761048807,0.00759512311239851
South East,HF,79945.68390879732,9748579.167829707,0.008200752389909078
South East,HYP,1381382.7541889476,9748579.167829707,0.14170093204428272
South East,LD,45037.561438445504,9748579.167829707,0.004619910313399246
South East,MH,82005.08359019614,9748579.167829707,0.008412003654933917
South East,OB,703232.0666081136,7755220.761048807,0.09067853621139334
South East,OST,38676.603682006,3727569.57150341,0.010375823425988234
South East,PAD,50500.668406109944,9748579.167829707,0.005180310641858667
South East,PC,41859.73917036726,9748579.167829707,0.0042939323207739155
South East,RA,60079.03898180808,7973320.872205396,0.007535008303910188
South East,STIA,172555.48417206848,9748579.167829707,0.01770057781768868
South West,AF,155531.08378201668,5881227.420755039,0.02644534425469461
South West,AST,425447.79840443726,5881227.420755039,0.07233996714750707
South West,CAN,221965.9761357827,5881227.420755039,0.03774143733201979
South West,CHD,210467.65373927268,5881227.420755039,0.035786348440892735
South West,CKD,239145.91253591064,4767966.679013475,0.050156791906396374
South West,COPD,121663.38029518082,5881227.420755039,0.020686732818021435
South West,CVDPP,38273.84635426296,3312253.1156880595,0.011555229934869357
South West,DEM,53420.18256282865,5881177.370467063,0.009083246295390375
South West,DEP,567894.340504889,4767966.679013475,0.11910618901858397
South West,DM,329140.05368419073,4828894.674833411,0.06816053690289807
South West,EP,40832.04673814721,4767966.679013475,0.008563828039711813
South West,HF,62107.135231017084,5881227.420755039,0.010560233568224045
South West,HYP,884304.0680779667,5881227.420755039,0.15036046131411776
South West,LD,31653.42095417688,5881227.420755039,0.005382111367173279
South West,MH,50942.68692107429,5881227.420755039,0.008661914133994534
South West,OB,483868.62193840457,4767966.679013475,0.10148322220207301
South West,OST,29721.650853659845,2461280.788819692,0.01207568473644686
South West,PAD,39072.63031445422,5881227.420755039,0.00664361833323528
South West,PC,24401.69491350436,5881227.420755039,0.004149082014307082
South West,RA,41908.68925969344,4891388.617058563,0.008567851082929337
South West,STIA,131509.69460209276,5881227.420755039,0.02236092658787362
Wales,AF,400.1260075934057,13947.568338620187,0.028687868586058464
Wales,AST,980.5774809133543,13947.568338620187,0.07030454751013332
Wales,CAN,590.7606339727527,13947.568338620187,0.04235581569706048
Wales,CHD,498.4271016876477,13947.568338620187,0.03573577053625366
Wales,CKD,558.4073086824509,11446.116969233053,0.048785741940558465
Wales,COPD,288.8293672586968,13947.568338620187,0.02070822384565353
Wales,CVDPP,115.19197876218949,8198.257671412925,0.014050787786758695
Wales,DEM,121.60390127300384,13959.411534080731,0.008711248391532703
Wales,DEP,1383.3541035770731,11446.116969233053,0.12085793874861693
Wales,DM,761.8219281106892,11594.761572740901,0.0657039753108611
Wales,EP,89.76765810260233,11446.116969233053,0.007842629805714558
Wales,HF,142.60299276243538,13947.568338620187,0.010224218967802016
Wales,HYP,2264.023175275344,13947.568338620187,0.16232386322183243
Wales,LD,64.86647160458669,13947.568338620187,0.00465073696215378
Wales,MH,119.15014767812389,13947.568338620187,0.00854271832805454
Wales,OB,1355.2059037795684,11446.116969233053,0.11839874670356212
Wales,OST,72.8147870421258,6486.442954655788,0.01122568833968722
Wales,PAD,108.96809607764095,13947.568338620187,0.0078126949036638315
Wales,PC,63.657257406612466,13947.568338620187,0.004564039828387031
Wales,RA,137.45695882173536,11756.440900018804,0.011692055443541207
Wales,STIA,320.0137877814749,13947.568338620187,0.022944055910833656
West Midlands,AF,130694.01706701165,6303994.357752344,0.02073193750662079
West Midlands,AST,419201.8191774487,6303994.357752344,0.0664978100213454
West Midlands,CAN,195679.4201271928,6303994.357752344,0.031040544934269467
West Midlands,CHD,202979.75130562915,6303994.357752344,0.03219859342926197
West Midlands,CKD,234699.04473371632,4963298.15892322,0.047286912294754006
West Midlands,COPD,122548.48559154366,6303994.357752344,0.019439815240449815
West Midlands,CVDPP,39917.51408394639,3466108.359955137,0.01151652226027436
West Midlands,DEM,48974.33001982066,6303988.643026327,0.0077687846208285335
West Midlands,DEP,600553.3402258881,4963298.15892322,0.12099884411461133
West Midlands,DM,403889.6187046279,5033025.963686265,0.08024787108565062
West Midlands,EP,43489.63794829327,4963298.15892322,0.008762245699486302
West Midlands,HF,56992.85309235092,6303994.357752344,0.009040752554333094
West Midlands,HYP,936535.1573936271,6303994.357752344,0.1485621820460423
West Midlands,LD,33104.12603516357,6303994.357752344,0.005251293728468164
West Midlands,MH,56816.4076842092,6303994.357752344,0.009012763092711078
West Midlands,OB,590078.4024132307,4963298.15892322,0.11888836485721974
West Midlands,OST,19333.46831430495,2322543.83829269,0.008324264108838976
West Midlands,PAD,37206.15204644273,6303994.357752344,0.005901996406562202
West Midlands,PC,32606.384588564408,6303994.357752344,0.0051723372100526506
West Midlands,RA,43950.09664364916,5105538.392101857,0.008608317726420173
West Midlands,STIA,118261.02309008676,6303994.357752344,0.018759696849134255
Yorkshire and The Humber,AF,124638.6159178965,5816146.607234924,0.02142975828065507
Yorkshire and The Humber,AST,402867.74944767077,5816146.607234924,0.06926712420669183
Yorkshire and The Humber,CAN,183664.218792378,5816146.607234924,0.031578333765505694
Yorkshire and The Humber,CHD,206847.25605663564,5816146.607234924,0.035564312598195265
Yorkshire and The Humber,CKD,189790.86533094058,4626920.50755602,0.0410188299152755
Yorkshire and The Humber,COPD,137885.17229880282,5816146.607234924,0.02370730684939789
Yorkshire and The Humber,CVDPP,40425.17788165063,3213832.222839852,0.012578496660267337
Yorkshire and The Humber,DEM,48133.99105548614,5816152.248076048,0.008275916620203437
Yorkshire and The Humber,DEP,553443.745580911,4626920.50755602,0.11961384352229662
Yorkshire and The Humber,DM,346940.3468213962,4688596.0184093835,0.07399663896381
Yorkshire and The Humber,EP,41308.55823534651,4626920.50755602,0.008927872905507523
Yorkshire and The Humber,HF,57892.093950094284,5816146.607234924,0.009953685465576147
Yorkshire and The Humber,HYP,850484.0691669204,5816146.607234924,0.14622810025266061
Yorkshire and The Humber,LD,33899.72834704014,5816146.607234924,0.005828554649030165
Yorkshire and The Humber,MH,52158.04430338124,5816146.607234924,0.008967800818242767
Yorkshire and The Humber,OB,563683.1436535728,4626920.50755602,0.1218268484909232
Yorkshire and The Humber,OST,16582.69850197011,2169345.5219299286,0.0076441020272407035
Yorkshire and The Humber,PAD,44125.37741166098,5816146.607234924,0.007586703085642951
Yorkshire and The Humber,PC,29140.984916867976,5816146.607234924,0.005010359415737286
Yorkshire and The Humber,RA,37794.5082343713,4752350.031526327,0.007952803977747556
Yorkshire and The Humber,STIA,116388.8546565947,5816146.607234924,0.020011334396525395
