region,imd_overall,group_code,register,list,prevalence
East Midlands,4,DEP,47012.17054973917,382517.5243357353,0.122902004637248
East Midlands,4,DM,31134.777123711174,386950.55920479354,0.08046189980367259
East Midlands,4,EP,3296.92654241094,382517.5243357353,0.008619020914496012
East Midlands,4,HF,5205.3574281189085,471111.1209314954,0.011049107518045246
East Midlands,4,HYP,71315.5086609613,471111.1209314954,0.15137725579467132
East Midlands,4,LD,2944.325317817358,471111.1209314954,0.006249747006599521
East Midlands,4,MH,4173.2890131722525,471111.1209314954,0.008858396305569474
East Midlands,4,OB,44447.40116879182,382517.5243357353,0.11619703239995972
East Midlands,4,OST,1447.8734907465216,172813.2554216196,0.008378254823185207
East Midlands,4,PAD,3070.428897235235,471111.1209314954,0.00651741969318043
East Midlands,4,PC,3252.8152708763087,471111.1209314954,0.006904560572556093
East Midlands,4,RA,3132.8387760629184,391441.8373981883,0.008003331470356055
East Midlands,4,STIA,9161.887517203259,471111.1209314954,0.01944740234339638
East Midlands,5,AF,9959.363028747439,468884.62827814237,0.02124054069616363
East Midlands,5,AST,30829.28044368725,468884.62827814237,0.0657502476822493
East Midlands,5,CAN,14747.74876905262,468884.62827814237,0.03145283056774524
East Midlands,5,CHD,15273.5279189593,468884.62827814237,0.03257417069748562
East Midlands,5,CKD,17965.236034830243,383922.6340161285,0.04679389659031025
East Midlands,5,COPD,9549.085014046215,468884.62827814237,0.02036553224001555
East Midlands,5,CVDPP,3203.0991032144325,250844.2682965588,0.012769273641236211
East Midlands,5,DEM,3999.529185473751,469277.39358716254,0.008522739940446092
East Midlands,5,DEP,47820.58630118791,383922.6340161285,0.12455787198828966
East Midlands,5,DM,28019.84369577956,388339.4981120026,0.07215295851182833
East Midlands,5,EP,3131.641755739233,383922.6340161285,0.00815696048701227
East Midlands,5,HF,5026.695526246636,468884.62827814237,0.010720538109141852
East Midlands,5,HYP,68217.37983967172,468884.62827814237,0.1454886249740846
East Midlands,5,LD,2712.6864000506102,468884.62827814237,0.005785402711989621
East Midlands,5,MH,3842.317843926811,468884.62827814237,0.008194591189813005
East Midlands,5,OB,43070.7206026639,383922.6340161285,0.1121859374429446
East Midlands,5,OST,1447.2636336496153,174000.4781111618,0.008317584235170997
East Midlands,5,PAD,3017.777177306775,468884.62827814237,0.006436076158838437
East Midlands,5,PC,3084.1584429820277,468884.62827814237,0.006577648864941047
East Midlands,5,RA,3022.6759881808903,392970.3700673564,0.007691867424159215
East Midlands,5,STIA,8820.430233727157,468884.62827814237,0.01881151503327782
East Midlands,6,AF,11606.048625190351,506011.6369889128,0.022936327500793524
East Midlands,6,AST,33874.866455624215,506011.6369889128,0.06694483679703683
East Midlands,6,CAN,16970.84015154223,506011.6369889128,0.03353843846858818
East Midlands,6,CHD,17324.9786801147,506011.6369889128,0.034238300888116344
East Midlands,6,CKD,20489.88123783751,412355.78614144603,0.04968981138731757
East Midlands,6,COPD,10504.858729822361,506011.6369889128,0.020760112934028296
East Midlands,6,CVDPP,3729.63482066528,285803.1097263941,0.013049664939740318
East Midlands,6,DEM,4695.319198435894,505913.38392199064,0.009280875635343714
East Midlands,6,DEP,51614.02998853435,412355.78614144603,0.12516868132615394
East Midlands,6,DM,31131.41132501065,417305.7168166577,0.0746009701532274
East Midlands,6,EP,3410.4084587159114,412355.78614144603,0.008270548330674024
East Midlands,6,HF,5546.465350039638,506011.6369889128,0.010961141888049437
East Midlands,6,HYP,77127.50966116265,506011.6369889128,0.15242240301057064
East Midlands,6,LD,2916.237950282048,506011.6369889128,0.005763183565570737
East Midlands,6,MH,4016.2845511893474,506011.6369889128,0.007937138709079427
East Midlands,6,OB,47574.7756444934,412355.78614144603,0.11537312496489216
East Midlands,6,OST,1750.210933681387,206357.93533705582,0.008481432666122921
East Midlands,6,PAD,3329.7535135020107,506011.6369889128,0.006580389204715007
East Midlands,6,PC,3507.6559286813945,506011.6369889128,0.00693196691987985
East Midlands,6,RA,3371.1110566553048,422407.3667987888,0.007980710853135082
East Midlands,6,STIA,9981.926336247801,506011.6369889128,0.019726673472662673
East Midlands,7,AF,11430.457212676676,494811.8728583189,0.02310061225218336
East Midlands,7,AST,33065.135453025374,494811.8728583189,0.06682365009154302
East Midlands,7,CAN,16636.162736732836,494811.8728583189,0.033621187463899686
East Midlands,7,CHD,16342.293914364416,494811.8728583189,0.03302728736067285
