imd_overall,group_code,register,list,prevalence
3,EP,39954.269635278935,5023324.064443035,0.007953751166103374
3,HF,54421.03819723364,6359957.589521578,0.008556824071735266
3,HYP,860743.3131821133,6359957.589521578,0.1353379014036573
3,LD,34519.824150768225,6359957.589521578,0.005427681500210279
3,MH,66711.50103724307,6359957.589521578,0.010489299668783073
3,OB,560613.1226072472,5023324.064443035,0.11160202197096468
3,OST,14946.74297422686,1965016.1038109143,0.007606422637066146
3,PAD,37184.91018659493,6359957.589521578,0.0058467229793889445
3,PC,28663.100264899433,6359957.589521578,0.0045068068240146225
3,RA,37919.80968841359,5157793.325347204,0.007351944387159206
3,STIA,104734.33703196236,6359957.589521578,0.016467772867623937
4,AF,119407.47624769018,6225621.447721123,0.019180009136501395
4,AST,394238.0597689615,6225621.447721123,0.06332509341911105
4,CAN,182822.80636198487,6225621.447721123,0.02936619386469552
4,CHD,189019.7895421588,6225621.447721123,0.03036159379901731
4,CKD,196229.7238658123,5025933.527704659,0.039043437957172966
4,COPD,121113.60400613004,6225621.447721123,0.0194540585262317
4,CVDPP,40789.029343224065,3476312.7024718733,0.011733417800481684
4,DEM,44766.909161108524,6226945.508156153,0.007189224492565754
4,DEP,567660.3697050455,5025933.527704659,0.11294625497450533
4,DM,371286.3222007432,5086417.104322075,0.07299564990162732
4,EP,39524.990021950034,5025933.527704659,0.00786420866970779
4,HF,54679.50555906684,6225621.447721123,0.008782979501441125
4,HYP,864929.9112779045,6225621.447721123,0.13893069447621337
4,LD,32593.754039695756,6225621.447721123,0.005235421766870621
4,MH,61075.322466446116,6225621.447721123,0.009810317408361318
4,OB,537212.4814874942,5025933.527704659,0.10688809920111277
4,OST,16662.223099885916,2112037.7109514093,0.007889169314301725
4,PAD,36660.23387475106,6225621.447721123,0.005888606331528633
4,PC,28830.716537615146,6225621.447721123,0.004630978092663918
4,RA,38940.831255984616,5148848.651298859,0.007563017267202314
4,STIA,108759.31386318668,6225621.447721123,0.017469631710902985
5,AF,125855.15513438552,6045818.233911753,0.02081689363872175
5,AST,388324.1706046427,6045818.233911753,0.06423020930839167
5,CAN,191133.6963143377,6045818.233911753,0.031614198263891696
5,CHD,188163.60724645603,6045818.233911753,0.031122934889279794
5,CKD,198283.80584821358,4902070.851922452,0.040448988159861525
5,COPD,115635.95158599642,6045818.233911753,0.0191266007531255
5,CVDPP,40621.85929766969,3426342.4134382517,0.011855750066995387
5,DEM,47983.806212357886,6046007.396158278,0.007936445172536093
5,DEP,555352.6000111249,4902070.851922452,0.11328938662592594
5,DM,352671.4371493002,4960780.12617414,0.07109193074059664
5,EP,38369.51429825401,4902070.851922452,0.00782720516640566
5,HF,54543.40904239431,6045818.233911753,0.009021675302187136
5,HYP,861324.2645301813,6045818.233911753,0.14246611975512355
5,LD,30526.468081846186,6045818.233911753,0.005049187206889449
5,MH,55532.52783458175,6045818.233911753,0.00918527909474566
5,OB,511610.1420427145,4902070.851922452,0.10436612556141975
5,OST,18506.31095860676,2228657.6520004873,0.008303792617944316
5,PAD,35645.549099611606,6045818.233911753,0.005895901550541372
5,PC,28834.933786552727,6045818.233911753,0.004769401373136553
5,RA,39177.07650505009,5021652.302674072,0.007801630647384323
5,STIA,110051.01912197135,6045818.233911753,0.018202832910966686
6,AF,132165.76635338395,6062938.455444261,0.02179896222345861
6,AST,392290.2968748246,6062938.455444261,0.06470299834935064
6,CAN,201015.8066575187,6062938.455444261,0.033154848615858046
6,CHD,189525.7139213449,6062938.455444261,0.03125971264827187
6,CKD,201011.0474955575,4939787.626805258,0.04069224482542354
6,COPD,111730.42377027065,6062938.455444261,0.018428427831053022
6,CVDPP,41226.17272192572,3461485.493384462,0.01190996547601212
6,DEM,50235.4617858118,6063012.574485276,0.008285561207181989
6,DEP,550063.7883612334,4939787.626805258,0.11135373216783002
6,DM,342962.57379896153,4998566.327927677,0.06861218823541113
6,EP,38079.30011234326,4939787.626805258,0.00770869174733541
6,HF,54639.97005253644,6062938.455444261,0.009012126785399258
6,HYP,867040.3967060023,6062938.455444261,0.14300663004874095
6,LD,29357.203070762225,6062938.455444261,0.004842075057582137
6,MH,52895.17987002624,6062938.455444261,0.008724347155879277
6,OB,496007.1030336397,4939787.626805258,0.10041061286564372
6,OST,20371.43701094445,2333175.2383105042,0.008731207444879189
6,PAD,35273.6493614848,6062938.455444261,0.005817913148996352
6,PC,28786.539959948936,6062938.455444261,0.004747951867151125
6,RA,39312.895088747246,5059530.451108655,0.007770067888440699
6,STIA,112166.2389030155,6062938.455444261,0.01850030966458104
7,AF,131235.06630224813,5852481.815789848,0.02242383153556825
7,AST,381644.35217954847,5852481.815789848,0.06521068568720396
7,CAN,199415.31434231112,5852481.815789848,0.03407363245525918
7,CHD,184638.60493340978,5852481.815789848,0.03154877037554555
7,CKD,199212.15670896464,4776450.730791003,0.04170715201242621
7,COPD,107322.13393628105,5852481.815789848,0.018337884219772997
7,CVDPP,40423.426627089524,3377164.547165689,0.01196963490008658
7,DEM,51650.53652002342,5850156.284887092,0.008828915674176775
7,DEP,539740.6346734732,4776450.730791003,0.11300035635122935
7,DM,322831.01998924435,4834292.593440195,0.06677937128325746
7,EP,37004.446365666656,4776450.730791003,0.007747268516164206
7,HF,53063.21460811309,5852481.815789848,0.009066788463135397
7,HYP,844066.311128726,5852481.815789848,0.14422365377564378
7,LD,27359.700389746948,5852481.815789848,0.004674888577343576
7,MH,49022.61844343123,5852481.815789848,0.008376381163828557
7,OB,476069.85696169577,4776450.730791003,0.09967021200339196
7,OST,21134.476031300033,2376358.435991574,0.008893639827731345
7,PAD,34113.66795706304,5852481.815789848,0.005828923357783911
7,PC,28441.680585286016,5852481.815789848,0.004859764024990404
7,RA,38373.0605385015,4894237.174006942,0.007840457904716791
7,STIA,109792.30844096212,5852481.815789848,0.018759957210758904
8,AF,133407.38110505432,5854360.054076051,0.022787696669283347
8,AST,381114.96094961534,5854360.054076051,0.06509933749022954
8,CAN,202576.0200668051,5854360.054076051,0.03460258989806463
8,CHD,183497.52599731015,5854360.054076051,0.03134373771041832
8,CKD,198913.72319436254,4770671.175027541,0.041695123368718494
8,COPD,104563.5638580377,5854360.054076051,0.017860801674682812
8,CVDPP,39977.64231193673,3383438.0486667505,0.011815686215295116
8,DEM,52476.16642931998,5851242.825649969,0.008968379537981457
8,DEP,535783.0068097457,4770671.175027541,0.11230767897279205
8,DM,314203.6707356047,4829457.521686372,0.06505982697325592
8,EP,36281.954907311956,4770671.175027541,0.0076052097443296334
8,HF,53306.373442078504,5854360.054076051,0.009105414246765428
8,HYP,842553.9601120735,5854360.054076051,0.14391905388966503
8,LD,26559.742529464376,5854360.054076051,0.004536745653518931
8,MH,47165.42702663565,5854360.054076051,0.008056461609975132
8,OB,460198.06203040987,4770671.175027541,0.0964640079239486
8,OST,21766.536272113506,2420236.368694406,0.00899355804815686
8,PAD,33721.254565129515,5854360.054076051,0.005760024025452852
8,PC,28908.962601965115,5854360.054076051,0.004938022659169636
8,RA,38032.541338522846,4890449.827820986,0.0077769004237937
8,STIA,109585.39857346672,5854360.054076051,0.01871859563833433
9,AF,133255.7766563969,5736161.262470393,0.023230828172185594
9,AST,373802.3224064313,5736161.262470393,0.0651659368177257
9,CAN,202523.41400701675,5736161.262470393,0.03530643661154602
9,CHD,178331.7452829135,5736161.262470393,0.031089039711919002
9,CKD,193862.32428916142,4641284.40441344,0.041769111176383836
9,COPD,97538.4778023899,5736161.262470393,0.017004138018320458
9,CVDPP,39801.637963207024,3340011.950322537,0.011916615435870963
9,DEM,53040.861187738505,5731468.050250456,0.009254323800238353
9,DEP,512353.78136960167,4641284.40441344,0.11039051622917133
9,DM,297543.9849935455,4702184.865171618,0.06327781521254289
9,EP,34762.1951756759,4641284.40441344,0.007489779153076723
9,HF,51831.99231768766,5736161.262470393,0.00903600682512283
9,HYP,824987.9391463384,5736161.262470393,0.1438223057890532
9,LD,24834.246166461042,5736161.262470393,0.004329419106283228
9,MH,44186.36974271746,5736161.262470393,0.007703125438925981
9,OB,433344.8536481444,4641284.40441344,0.09336744226147245
9,OST,22553.22160619444,2435742.7337235967,0.009259279025628711
9,PAD,31828.175557243037,5736161.262470393,0.005548689114701701
9,PC,27944.835206909775,5736161.262470393,0.004871696231719045
9,RA,36934.51221184933,4765382.646750918,0.0077505868782712815
9,STIA,107348.48858597132,5736161.262470393,0.01871434286346049
Wales,AF,400.1260075934057,13947.568338620187,0.028687868586058464
Wales,AST,980.5774809133543,13947.568338620187,0.07030454751013332
Wales,CAN,590.7606339727527,13947.568338620187,0.04235581569706048
Wales,CHD,498.4271016876477,13947.568338620187,0.03573577053625366
Wales,CKD,558.4073086824509,11446.116969233053,0.048785741940558465
Wales,COPD,288.8293672586968,13947.568338620187,0.02070822384565353
Wales,CVDPP,115.19197876218949,8198.257671412925,0.014050787786758695
Wales,DEM,121.60390127300384,13959.411534080731,0.008711248391532703
Wales,DEP,1383.3541035770731,11446.116969233053,0.12085793874861693
Wales,DM,761.8219281106892,11594.761572740901,0.0657039753108611
Wales,EP,89.76765810260233,11446.116969233053,0.007842629805714558
Wales,HF,142.60299276243538,13947.568338620187,0.010224218967802016
Wales,HYP,2264.023175275344,13947.568338620187,0.16232386322183243
Wales,LD,64.86647160458669,13947.568338620187,0.00465073696215378
Wales,MH,119.15014767812389,13947.568338620187,0.00854271832805454
Wales,OB,1355.2059037795684,11446.116969233053,0.11839874670356212
Wales,OST,72.8147870421258,6486.442954655788,0.01122568833968722
Wales,PAD,108.96809607764095,13947.568338620187,0.0078126949036638315
Wales,PC,63.657257406612466,13947.568338620187,0.004564039828387031
Wales,RA,137.45695882173536,11756.440900018804,0.011692055443541207
Wales,STIA,320.0137877814749,13947.568338620187,0.022944055910833656
