region,imd_income,group_code,register,list,prevalence
East Midlands,4,CVDPP,3726.8059874439546,290154.57970439014,0.012844208736049693
East Midlands,4,DEM,4389.377681244228,525338.3739901664,0.00835533419709102
East Midlands,4,DEP,53310.1915576879,421474.1589304002,0.126485077265416
East Midlands,4,DM,33573.986102672316,426646.50368336285,0.07869274871074383
East Midlands,4,EP,3670.0083301003765,421474.1589304002,0.008707552414159797
East Midlands,4,HF,5997.21575969248,525567.3220357717,0.011410937301928166
East Midlands,4,HYP,79595.39547221498,525567.3220357717,0.15144662184076482
East Midlands,4,LD,3343.30914709091,525567.3220357717,0.006361333756712055
East Midlands,4,MH,4693.670301286511,525567.3220357717,0.008930673777634611
East Midlands,4,OB,48956.97163670405,421474.1589304002,0.11615652015522147
East Midlands,4,OST,1654.3040860459382,191307.6615118662,0.008647348846210882
East Midlands,4,PAD,3541.718193447345,525567.3220357717,0.006738847803034233
East Midlands,4,PC,3614.5696829387243,525567.3220357717,0.006877462755747028
East Midlands,4,RA,3434.921255397056,431909.5732109783,0.007952871314846205
East Midlands,4,STIA,10427.602930121495,525567.3220357717,0.019840660735394353
East Midlands,5,AF,10543.702404293934,474517.7848950657,0.022219825557487916
East Midlands,5,AST,31733.943180720733,474517.7848950657,0.06687619345550629
East Midlands,5,CAN,15444.395745121814,474517.7848950657,0.032547559304941895
East Midlands,5,CHD,16256.678102955168,474517.7848950657,0.0342593652344351
East Midlands,5,CKD,19685.344290490033,385713.8233639031,0.05103613896647366
East Midlands,5,COPD,10137.507633941223,474517.7848950657,0.021363809654011218
East Midlands,5,CVDPP,3420.644393009283,263202.33067245304,0.012996254190720546
East Midlands,5,DEM,4340.624893263121,473968.78967702173,0.009158039490787924
East Midlands,5,DEP,48930.84446671009,385713.8233639031,0.1268578969765004
East Midlands,5,DM,29645.02261531039,390239.68358638254,0.07596619170778986
East Midlands,5,EP,3307.3768704902445,385713.8233639031,0.008574691053708719
East Midlands,5,HF,5253.58076038825,474517.7848950657,0.011071409602803445
East Midlands,5,HYP,71838.94653707428,474517.7848950657,0.1513935806493758
East Midlands,5,LD,2955.2017260910116,474517.7848950657,0.006227799716178228
East Midlands,5,MH,4032.583498646588,474517.7848950657,0.008498276833898541
East Midlands,5,OB,45279.94238825009,385713.8233639031,0.11739258394566421
East Midlands,5,OST,1525.7860584225953,182886.92749018577,0.008342783595095792
East Midlands,5,PAD,3211.9248061885155,474517.7848950657,0.006768818595279409
East Midlands,5,PC,3292.776723586759,474517.7848950657,0.006939206133896372
East Midlands,5,RA,3187.7255854763694,395043.86049240304,0.00806929534736478
East Midlands,5,STIA,9356.796952279505,474517.7848950657,0.019718537956061342
East Midlands,6,AF,11828.46276303212,522997.71487171954,0.022616662418751477
East Midlands,6,AST,34802.70188032658,522997.71487171954,0.06654465381146639
East Midlands,6,CAN,17220.95792704531,522997.71487171954,0.03292740567952434
East Midlands,6,CHD,17426.639275703237,522997.71487171954,0.033320679575010434
East Midlands,6,CKD,20740.890070411886,429188.2594393262,0.048325856111504376
East Midlands,6,COPD,10428.074235873582,522997.71487171954,0.01993904359301335
East Midlands,6,CVDPP,3792.6664248611332,291315.9336066044,0.01301908336391508
East Midlands,6,DEM,4643.199844332291,523369.6464530129,0.008871740796968721
East Midlands,6,DEP,53454.38254922196,429188.2594393262,0.12454763468845248
East Midlands,6,DM,31048.26192051399,434208.94500355475,0.0715053484682583
East Midlands,6,EP,3503.1668677086327,429188.2594393262,0.008162308242739504
East Midlands,6,HF,5779.714393250545,522997.71487171954,0.01105112743115558
East Midlands,6,HYP,78201.21974550787,522997.71487171954,0.14952497405211226
East Midlands,6,LD,2839.0903185423467,522997.71487171954,0.0054284946909160334
East Midlands,6,MH,4104.342153725643,522997.71487171954,0.00784772483132618
East Midlands,6,OB,47872.36090114828,429188.2594393262,0.11154163667870773
