county_conurbation,group_code,register,list,prevalence
Berkshire,RA,5269.232687905554,813623.8073118401,0.006476251850735236
Berkshire,STIA,13699.367469887682,1015819.8534608097,0.013486020600222698
Buckinghamshire & MK,AF,17394.569162746964,867897.4015236024,0.02004219523207539
Buckinghamshire & MK,AST,55363.910028283884,867897.4015236024,0.06379084662667729
Buckinghamshire & MK,CAN,26809.006772923443,867897.4015236024,0.030889603685712124
Buckinghamshire & MK,CHD,23473.973476470284,867897.4015236024,0.02704694522101517
Buckinghamshire & MK,CKD,19114.099872144507,672572.8218714969,0.02841937594052304
Buckinghamshire & MK,COPD,12359.836453201231,867897.4015236024,0.014241126233934353
Buckinghamshire & MK,CVDPP,5917.769447834295,493618.30361008603,0.011988553513017215
Buckinghamshire & MK,DEM,6324.735450334526,867858.9058775764,0.007287746207937996
Buckinghamshire & MK,DEP,75651.8742769708,672572.8218714969,0.11248131327469103
Buckinghamshire & MK,DM,43054.73763024514,682699.8132504334,0.06306540121236484
Buckinghamshire & MK,EP,4573.286202501147,672572.8218714969,0.006799689273461199
Buckinghamshire & MK,HF,6388.551618765914,867897.4015236024,0.007360952582126354
Buckinghamshire & MK,HYP,118493.53368356725,867897.4015236024,0.13652942556983197
Buckinghamshire & MK,LD,3652.654121244466,867897.4015236024,0.004208624331438481
Buckinghamshire & MK,MH,6460.764676595822,867897.4015236024,0.007444157184079461
Buckinghamshire & MK,OB,55505.46100630527,672572.8218714969,0.08252706502748078
Buckinghamshire & MK,OST,2167.1158643849685,312952.4254590497,0.006924745386479003
Buckinghamshire & MK,PAD,4009.0842199318013,867897.4015236024,0.004619306628748761
Buckinghamshire & MK,PC,4706.960597322625,867897.4015236024,0.005423406717268089
Buckinghamshire & MK,RA,4523.596420006557,693323.6557310986,0.006524508983090297
Buckinghamshire & MK,STIA,12807.374292959204,867897.4015236024,0.014756783774759244
Cambridgeshire,AF,18623.32191763687,980996.8908915555,0.01898407843139188
Cambridgeshire,AST,62885.601474798634,980996.8908915555,0.0641037724570631
Cambridgeshire,CAN,28925.138352919334,980996.8908915555,0.02948545364565979
Cambridgeshire,CHD,26948.227538239575,980996.8908915555,0.0274702476515989
Cambridgeshire,CKD,20190.929731677323,783345.7888049295,0.02577524513469404
Cambridgeshire,COPD,16958.7409986452,980996.8908915555,0.01728725254494197
Cambridgeshire,CVDPP,6941.774891623183,545934.429475489,0.012715400452564515
Cambridgeshire,DEM,6713.7251998847905,981029.6434139912,0.006843549779516317
Cambridgeshire,DEP,79549.4466139873,783345.7888049295,0.1015508703191572
Cambridgeshire,DM,49420.9572188784,793754.1108977548,0.06226230080620574
Cambridgeshire,EP,5359.301594463468,783345.7888049295,0.0068415528251445715
Cambridgeshire,HF,7730.925169007164,980996.8908915555,0.007880682641084722
Cambridgeshire,HYP,124710.10585217467,980996.8908915555,0.127125893068667
Cambridgeshire,LD,4511.359447615274,980996.8908915555,0.004598749995543037
Cambridgeshire,MH,7826.867436209267,980996.8908915555,0.00797848342729813
Cambridgeshire,OB,70165.77962610942,783345.7888049295,0.089571911445588
Cambridgeshire,OST,3035.9681078114613,334067.8008454359,0.009087880065448516
Cambridgeshire,PAD,5370.09005732099,980996.8908915555,0.005474115267012226
Cambridgeshire,PC,4204.7378168859195,980996.8908915555,0.004286188728961765
Cambridgeshire,RA,5774.66275980331,804264.1248976097,0.007180057621665617
Cambridgeshire,STIA,14623.693705323993,980996.8908915555,0.014906972530803435
