imd_income,group_code,register,list,prevalence
4,CVDPP,41045.50878411995,3493296.5189160774,0.01174979237000351
4,DEM,45356.55263624534,6229651.297115393,0.007280753042669892
4,DEP,567912.0030871676,4978768.194151306,0.11406676931742059
4,DM,373801.6848148771,5040793.501216643,0.07415532588761206
4,EP,39530.32104818293,4978768.194151306,0.00793977938049421
4,HF,54869.18614095001,6229366.36536132,0.008808148842561687
4,HYP,871319.5684335908,6229366.36536132,0.13987290477545256
4,LD,32881.502630887175,6229366.36536132,0.005278466653322285
4,MH,60992.404134855395,6229366.36536132,0.009791108847603905
4,OB,534726.7325162761,4978768.194151306,0.10740141168741982
4,OST,16924.484888064006,2100408.9845512486,0.008057709242602537
4,PAD,36455.28779424127,6229366.36536132,0.005852166280819922
4,PC,29291.81279502482,6229366.36536132,0.004702213849213188
4,RA,38913.86257475936,5104362.101714212,0.007623648518527087
