PRACTICE_CODE,TOTAL,16OV,17OV,18OV,30_74,50OV,0_64,65OV,65OV%
A83016,11071,9077,8966,8848,6415,4713,8817,2254,0.203594978
A83018,18521,15499,15303,15111,10815,8052,14476,4045,0.218400734
A83020,13413,10962,10811,10685,7774,5816,10501,2912,0.217102811
A83021,14734,11986,11795,11643,8476,5986,11780,2954,0.200488666
A83022,24594,20292,20035,19776,14466,10321,19628,4966,0.201919167
A83023,11782,9596,9461,9361,6643,4638,9487,2295,0.194788661
A83024,5544,4710,4652,4598,3339,2677,4137,1407,0.253787879
A83025,13305,10904,10752,10600,7742,5593,10754,2551,0.191732431
A83026,10347,8574,8461,8339,6082,4129,8335,2012,0.194452498
A83027,6462,5348,5269,5189,3770,2707,5231,1231,0.190498298
A83028,9504,8137,8048,7945,5756,4555,7284,2220,0.233585859
A83029,4966,4184,4120,4072,2952,2320,3801,1165,0.234595248
A83030,13467,11021,10883,10718,7705,4884,11188,2279,0.169228484
A83031,10490,8781,8636,8510,6184,4977,7955,2535,0.241658723
A83032,2510,2156,2120,2100,1470,1320,1775,735,0.292828685
A83033,9032,7495,7402,7318,5250,3836,7079,1953,0.216231178
A83034,10138,8220,8113,8004,5809,3898,8235,1903,0.187709607
A83035,7157,6243,6174,6108,4542,4029,5018,2139,0.298868241
A83036,11072,9335,9230,9123,6596,5492,7882,3190,0.288114162
A83037,13863,11656,11479,11340,7991,6540,10539,3324,0.23977494
A83038,5761,4596,4532,4477,3295,2231,4754,1007,0.174796042
A83040,11928,9679,9546,9411,6720,4390,9868,2060,0.172702884
A83041,7413,6126,6059,5990,4300,3158,5817,1596,0.21529745
A83043,2724,2372,2340,2316,1734,1555,1868,856,0.314243759
A83044,7495,6236,6161,6087,4259,3148,6038,1457,0.194396264
A83045,15036,12608,12433,12277,8755,6570,11795,3241,0.215549348
A83046,10659,9152,9029,8930,6309,5596,7674,2985,0.280045032
A83047,14971,12204,12028,11849,8365,5668,12247,2724,0.181951773
A83048,5643,4690,4619,4564,3393,2692,4214,1429,0.253234095
A83049,14032,11431,11278,11152,8102,5627,11391,2641,0.188212657
A83050,12571,10437,10314,10170,7473,5463,10011,2560,0.203643306
A83051,10534,8543,8444,8350,6009,4306,8402,2132,0.202392254
