PRACTICE_CODE,Percent_male,Total,AgeAll,AgeMale,AgeFemale,16+,17+,18+,30_74,50+,0_64,65+,16perc,17perc,18perc,30_74perc,50perc,0_64perc,65perc,QOF
A82065,0.511879804,2862,52.14709993,50.19385666,54.19541875,2593,2573,2554,1686,1727,1829,1033,0.906009783,0.899021663,0.892382949,0.589098532,0.603424179,0.639063592,0.360936408,Yes
L82061,0.482377696,5703,50.80852183,49.42711741,52.09586721,4953,4890,4830,3349,3338,3646,2057,0.868490268,0.857443451,0.846922672,0.587234789,0.585305979,0.639312642,0.360687358,Yes
B81006,0.492190295,8387,50.27316084,49.0494186,51.45926274,7264,7187,7129,4787,4872,5362,3025,0.866102301,0.856921426,0.850005962,0.570764278,0.58089901,0.639322761,0.360677239,Yes
M82601,0.498486814,2313,50.48508431,49.35212489,51.6112069,2013,1990,1970,1375,1326,1480,833,0.870298314,0.860354518,0.851707739,0.594466061,0.573281453,0.639861652,0.360138348,Yes
L85065,0.490144749,6494,51.72559285,50.74269557,52.6704923,5739,5698,5649,4045,4014,4169,2325,0.883738836,0.877425316,0.869879889,0.622882661,0.618109024,0.64197721,0.35802279,Yes
J82021,0.482579603,8668,51.113521,49.6110447,52.5148272,7627,7555,7483,5110,5121,5565,3103,0.879903092,0.871596677,0.863290263,0.589524689,0.590793724,0.642016613,0.357983387,Yes
L85624,0.486171761,2748,50.89737991,49.8757485,51.86402266,2378,2353,2333,1647,1623,1766,982,0.865356623,0.856259098,0.848981077,0.599344978,0.590611354,0.642649199,0.357350801,Yes
F81012,0.491472055,7622,50.34675938,48.79898558,51.84262126,6633,6563,6482,4452,4370,4909,2713,0.87024403,0.861060089,0.850432957,0.584098662,0.573340331,0.644056678,0.355943322,Yes
D83022,0.474452555,5206,50.49001153,48.8562753,51.96491228,4565,4510,4460,2939,3043,3357,1849,0.876872839,0.866308106,0.856703803,0.564540914,0.584517864,0.644832885,0.355167115,Yes
D83014,0.489856021,9168,50.52999564,49.2574037,51.75197776,8025,7924,7847,5602,5337,5923,3245,0.875327225,0.864310646,0.855911867,0.611038394,0.582133508,0.646051483,0.353948517,Yes
H82059,0.467708915,10746,49.91001303,48.20771986,51.40576923,9309,9219,9131,6048,5949,6948,3798,0.866275824,0.857900614,0.849711521,0.56281407,0.55360134,0.646566164,0.353433836,Yes
D82004,0.486577181,12814,50.48322148,49.17032879,51.72746618,11205,11079,10982,7645,7402,8313,4501,0.874434213,0.864601217,0.857031372,0.596613079,0.577649446,0.648743562,0.351256438,Yes
D82028,0.494675369,5822,50.6434215,49.75208333,51.51597553,5114,5065,5015,3452,3393,3777,2045,0.878392305,0.869975953,0.861387839,0.592923394,0.582789419,0.648746135,0.351253865,Yes
D83054,0.490883042,7678,50.99205522,49.82143805,52.12074699,6745,6675,6618,4608,4529,4986,2692,0.87848398,0.869367023,0.861943214,0.600156291,0.589867153,0.649387861,0.350612139,Yes
C83641,0.503209537,4362,50.46469509,50.34214123,50.58883249,3832,3794,3764,2662,2577,2836,1526,0.878496103,0.869784503,0.862906923,0.610270518,0.590784044,0.650160477,0.349839523,Yes
B82037,0.484891928,9068,49.8432951,48.55742552,51.05373582,7840,7759,7676,5249,5190,5902,3166,0.864578738,0.855646228,0.846493163,0.578848699,0.572342303,0.650860168,0.349139832,Yes
H82015,0.479471905,6211,49.97101916,48.13297515,51.66408908,5372,5323,5278,3562,3413,4043,2168,0.864917083,0.857027854,0.849782644,0.573498631,0.549508936,0.650941877,0.349058123,Yes
M82620,0.49621586,3039,50.78644291,50.94761273,50.62769432,2674,2645,2617,1916,1835,1980,1059,0.879894702,0.87035209,0.861138532,0.63047055,0.603817045,0.651530109,0.348469891,Yes
L82048,0.49932341,3695,50.50717185,49.19728997,51.81351351,3243,3205,3167,2259,2138,2409,1286,0.87767253,0.867388363,0.857104195,0.611366712,0.578619756,0.651962111,0.348037889,Yes
G82018,0.48852459,5185,50.73654773,49.29016976,52.11802413,4605,4557,4506,2971,2967,3381,1804,0.888138862,0.878881389,0.869045323,0.572999036,0.57222758,0.652073288,0.347926712,Yes
F81740,0.491742597,3512,48.79869021,48.03358425,49.53893557,3048,3015,2989,1992,1905,2292,1220,0.867881549,0.858485194,0.851082005,0.567198178,0.542425968,0.65261959,0.34738041,Yes
J81053,0.490311504,4077,51.04096149,50.31865933,51.73580366,3565,3541,3516,2457,2467,2661,1416,0.874417464,0.868530782,0.862398823,0.602649007,0.605101791,0.652685798,0.347314202,Yes
D83015,0.470842852,8317,50.3513286,48.73621042,51.78845717,7303,7237,7179,4867,4662,5437,2880,0.878081039,0.870145485,0.863171817,0.585186966,0.560538656,0.653721294,0.346278706,Yes
M81029,0.48343778,7819,50.59739097,49.60740741,51.52389205,6873,6813,6743,4684,4577,5116,2703,0.879012661,0.871339046,0.862386494,0.599053587,0.585368973,0.654303619,0.345696381,Yes
A84002,0.491968558,5852,51.28964457,50.3608892,52.18903465,5119,5071,5025,3707,3596,3830,2022,0.874743677,0.866541353,0.858680793,0.633458647,0.614490772,0.654477102,0.345522898,Yes
J81010,0.493159316,11110,50.42358236,48.96422705,51.84354466,9796,9682,9566,6468,6356,7275,3835,0.881728173,0.871467147,0.861026103,0.582178218,0.57209721,0.654815482,0.345184518,Yes
L85003,0.49015544,3860,51.55621762,50.76691332,52.31504065,3441,3413,3386,2426,2380,2533,1327,0.891450777,0.884196891,0.877202073,0.628497409,0.616580311,0.656217617,0.343782383,Yes
L85009,0.483754159,10218,49.37385007,48.47420595,50.21687204,8819,8731,8645,5982,5750,6712,3506,0.863084752,0.8544725,0.84605598,0.585437463,0.562732433,0.656880016,0.343119984,Yes
L83639,0.485852569,2686,49.98585257,49.71187739,50.24475018,2317,2294,2271,1622,1529,1765,921,0.862620998,0.854058079,0.84549516,0.603871929,0.569247952,0.657110946,0.342889054,Yes
L83055,0.480806665,12843,50.2011991,48.99611336,51.31718656,11204,11072,10974,7634,7491,8440,4403,0.872381842,0.86210387,0.854473254,0.594409406,0.583274936,0.657167329,0.342832671,Yes
G81099,0.477602966,9979,50.23559475,48.62169534,51.71110685,8676,8581,8486,5884,5712,6559,3420,0.869425794,0.859905802,0.85038581,0.58963824,0.572402044,0.657280289,0.342719711,Yes
A84008,0.48497663,4493,51.11506788,49.91372189,52.24632671,4002,3968,3935,2829,2735,2955,1538,0.890718896,0.883151569,0.875806811,0.629646116,0.608724683,0.65768974,0.34231026,Yes
H82037,0.486490807,12510,49.49192646,48.40437069,50.52226027,10886,10768,10657,7203,6974,8241,4269,0.870183853,0.860751399,0.851878497,0.575779376,0.557474021,0.658752998,0.341247002,Yes
J82210,0.491674621,9429,50.31657652,49.15724763,51.43793032,8269,8180,8096,5536,5427,6217,3212,0.876975289,0.867536324,0.858627638,0.587124828,0.575564747,0.659348817,0.340651183,Yes
G81029,0.483575419,17900,49.28217877,47.88678373,50.58881437,15413,15263,15095,10189,9815,11835,6065,0.861061453,0.852681564,0.843296089,0.569217877,0.548324022,0.661173184,0.338826816,Yes
D82025,0.497114317,9010,49.79100999,48.91962492,50.65239461,7849,7768,7694,5328,5000,5959,3051,0.871143174,0.862153163,0.853940067,0.591342952,0.554938957,0.661376249,0.338623751,Yes
L82022,0.48508781,9623,50.66933389,49.82326478,51.46639758,8445,8375,8277,5939,5717,6379,3244,0.877584953,0.870310714,0.86012678,0.617167204,0.594097475,0.66289099,0.33710901,Yes
H82095,0.476896419,10388,49.35926069,48.22688736,50.39160839,8859,8773,8697,5900,5732,6892,3496,0.852810936,0.844532152,0.837216018,0.567963034,0.551790528,0.663457836,0.336542164,Yes
N84006,0.488828203,8056,49.34111221,47.79735907,50.81738708,6968,6879,6777,4490,4356,5348,2708,0.864945382,0.853897716,0.841236346,0.55734856,0.540714995,0.663853029,0.336146971,Yes
L83094,0.491253078,7717,49.93157963,49.07517805,50.75853286,6731,6668,6589,4665,4434,5124,2593,0.872230141,0.864066347,0.853829208,0.604509524,0.574575612,0.663988597,0.336011403,Yes
M81018,0.482012098,6282,49.77363897,49.4346103,50.08912108,5402,5337,5293,3818,3647,4174,2108,0.859917224,0.849570201,0.842566062,0.607768227,0.580547596,0.664438077,0.335561923,Yes
D83010,0.486332046,6475,49.6769112,49.39504605,49.94377631,5647,5583,5531,3894,3683,4304,2171,0.872123552,0.862239382,0.854208494,0.601389961,0.568803089,0.664710425,0.335289575,Yes
G82160,0.472234368,11435,49.4432007,47.97666667,50.75542668,9778,9672,9584,6744,6401,7601,3834,0.85509401,0.845824224,0.838128553,0.589768255,0.559772628,0.664713599,0.335286401,Yes
J82029,0.47276666,9694,49.22426243,47.51472834,50.75719037,8402,8326,8250,5409,5204,6444,3250,0.866721684,0.858881783,0.851041882,0.557974005,0.536826903,0.664741077,0.335258923,Yes
